gazinsky;russia;12;
cheryshev;russia;43;
cheryshev;russia;91;
dzyuba;russia;71;
golovin;russia;94;
gimenez;uruguay;89;
cheryshev;russia;59;
dzyuba;russia;62;
og;russia;47;
salah;egypt;73;
suarez;uruguay;23;
suarez;uruguay;10;
og;uruguay;23;
cavani;uruguay;90;
al-faraj;saudi arabia;51;
al-dawsari;saudi arabia;95;
salah;egypt;22;
bouhaddouz;iran;95;
ronaldo;portugal;3;
ronaldo;portugal;44;
ronaldo;portugal;88;
costa;spain;24;
costa;spain;55;
nacho;spain;58;
ronaldo;portugal;4;
costa;spain;54;
ansarifard;saudi arabia;93;
queresma;portugal;45;
isco;spain;19;
aspas;spain;91;
boutaib;morocco;14;
en-nesyri;morocco;81;
griezmann;france;58;
og;france;81;
jedinak;australia;62;
poulsen;denmark;59;
eriksen;denmark;7;
jedinak;australia;38;
mbappe;france;34;
carrillo;peru;18;
guerrero;peru;50;
aguero;argentina;19;
finnbogason;iceland;23;
og;croatia;32;
modric;croatia;71;
rebic;croatia;53;
modric;croatia;80;
rakitic;croatia;91;
musa;nigeria;49;
musa;nigeria;75;
moses;nigeria;51;
messi;argentia;14;
rojo;argentina;86;
sigurdsson;iceland;76;
badelj;croatia;53;
perisic;croatia;90;
kolarov;serbia;56;
coutinho;brazil;20;
zuber;switzerland;50;
coutinho;brazil;91;
neymar;brazil;97;
mitrovic;serbia;5;
xhaka;switzerland;52;
shaqiri;switzerland;90;
paulinho;brazil;36;
silva;brazil;68;
dzemaili;switzerland;31;
drmic;switzerland;88;
waston;costa rica;56;
og;costa rica;93;
lozano;mexico;35;
granqvist;sweden;65;
son;south korea;93;
vela;mexico;26;
hernandez;mexico;66;
reus;germany;48;
kroos;germany;95;
toivonen;sweden;32;
young-gwon;south korea;94;
son;south korea;96;
augustinsson;sweden;50;
granqvist;sweden;62;
og;sweden;74;
mertens;belgium;47;
lukaku;belgium;69;
lukaku;belgium;75;
sassi;tunisia;35;
kane;england;11;
kane;england;91;
e.hazard;belgium;6;
e.hazrad;belgium;51;
lukaku;belgium;16;
lukaku;belgium;43;
batshuayi;belgium;90;
bronn;tunisia;18;
khazri;tunisia;93;
stones;england;8;
stones;england;40;
kane;england;22;
kane;england;46;
kane;england;62;
lingard;england;36;
baloy;panama;78;
januzaj;belgium;51;
og;panama;33;
youssef;tunisia;51;
khazri;tunisia;66;
quintero;colombia;39;
kagawa;japan;6;
osako;japan;73;
krychowiak;poland;86;
og;senegal;37;
niang;senegal;60;
inui;japan;34;
honda;japan;78;
mane;senegal;11;
wague;senegal;71;
mina;colombia;40;
falcao;colombia;70;
cuadrado;colombia;75;
bednarek;poland;59;
mina;colombia;74;
griezmann;france;13;
pavard;france;57;
mbappe;france;64;
mbappe;france;68;
di maria;argentina;41;
mercado;argentina;48;
aguero;argentina;93;
cavani;uruguay;7;
cavani;uruguay;62;
pepe;portugal;55;
og;spain;12;
dzyuba;russia;41;
mandzukic;croatia;4;
jorgensen;denmark;1;
neymar;brazil;51;
firmino;brazil;88;
vertonghen;belgium;69;
fellaini;belgium;74;
chadli;belgium;94;
inui;japan;52;
haraguchi;japan;48;
forsberg;sweden;66;
mina;colombia;93;
kane;england;57;
varane;france;40;
griezmann;france;61;
augusto;brazil;76;
og;belgium;13;
de bruyne;belgium;31;
maguire;england;30;
alli;england;59;
cheryshev;russia;31;
fernandes;russia;115;
kramaric;croatia;39;
vida;croatia;101;
umtiti;france;51;
perisic;croatia;68;
mandzukic;croatia;109;
trippier;england;5;
meunier;belgium;4;
e.hazard;belgium;82;
og;france;18;
griezmann;france;38;
pogba;france;59;
mbappe;france;65;
perisic;croatia;28;
mandzukic;croatia;69;